country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Democratic People's Republic of Korea,85000,87000,94000,98000,88000,96000,91000,87000,88000,88000,91000,87000,98000,102000,106000,108000,115000,111000,115000,99000,114000,121000,124000,132000,127000,143000,133000,128000,129000,116000,135000,123000,123000,125000,125000,100000,100000,165000,97000,50000,123866,145000,161000,175000,193000,199000,195000,175000,169000,160000,127000,74000,75000,45000,55000,39000,43800,50900,87500,89000,86603.65
Democratic Republic of the Congo,2127,2970,2892,3084,3000,3300,3956,2806,3420,3256,2000,1655,1324,3400,3500,3600,3500,3600,2900,3100,3100,3200,3400,3400,3400,8260,6510,6590,6670,6750,6830,9230,9730,10250,10818,10255,10342,10443,9900,9385,8897,8440,8490,8540,8590,8640,8690,8740,8790,8841,8841,9292.28,9602.49,10000,9500,11000,10000,11500,10072.64,9000,9000
Denmark,434057,643992,494060,541454,563769,400474,420312,464851,428455,512491,585206,592215,542247,591572,519381,592557,605645,642428,589886,652372,834765,1206971,1547845,2445877,1972165,2177228,2284719,2080441,3224153,3953412,3669852,3583011,4334000,3725194,4598500,4757742,4964703,4928375,4470745,4693422,4663938,4056240,4701382,4758500,4887200,4801600,4519200,5018700,5940400,5059900,4831000,4525100,4145200,5153300,5029300,4201500,4834100,2623930,4642090,4070410,4047090
Ecuador,78170,67300,52600,47200,61300,62727,78543,82910,94099,81000,68493,50640,45189,54989,64647,65000,39800,28904,31248,31113,41431,38538,26914,25172,18464,33006,31368,34198,25634,29907,17059,23997,25528,19836,19763,20431.4,19302,19787,19011,12958,13631,8845,11052,10214,8429,7577,9243,8144,11314,7605,5938,7450.22,5755,6814.24,2052.72,6745.77,5803,5398,5073.39,14647,10898.38
Egypt,1435926,1593098,1493000,1499881,1272000,1465000,1299000,1526000,1277000,1519000,1732000,1618000,1938112,1886000,2033265,1960000,1697000,1933000,1856000,1736440,1938327,2016992,1996000,1815176,1872000,1928000,2721000,2838000,3182000,4268049,4482523,4617997,4832598,4437055,5722441,5735367,5849134,6093151,6346642,6564053,6254583,6624868,6844692,7177855,8140960,8274230,7379000,7977051,8522995,7177399,8407126,8795483,9460200,8800000,9607736,9342538,8421071,8348629,8558807,9101785,9000000
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,13520,9605,7857,9635,31937,27518,13776,36490,4365,4755,9052,21559,21570,27274,5391,26142,33000,29000,33000,30000,30000,25000,25000,25000,25000,25000,25000,25000
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89400,105600,57091,77101,101249,111186,118011,88424,146800,133003,148420,144885,196634,263408,219590,345726,342500,342520,327600,360400,484700,406800,615500,812600,455543,713263,450270,846580,840520,736270
Eswatini,,,,,,,,,,106,789,1147,1431,1134,442,194,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1435,400,300,390.45,500,450,300,337.11,350,300,300,316.18,318.16,330.94,334.52,318.61,334.95,325,388.8,420,450,556.4,700,720,710.27,686.7,683.13,689.52,724.76,699.14,704.47,709.46
Ethiopia,650000,655000,661000,653800,692900,721700,738900,760000,782000,808000,839500,876000,644800,652800,698900,532490,605210,428910,491400,537446,613227,706597,916614,666052,675620,775257,780210,778763,799936,798757,785878,798467,895520,802747,1083680,1162310,1092820,1142710,1149670,1235270,1596020,1444434,1618093,1614441,2176603,2219075,2463064,2314489,3075644,2855682,2916334,3434706,3925174,4231589,4650933.63,4537852,4642965.71,4838074.09,5315270.33,5478708.65,5214000
Finland,460792,421500,397000,462500,500700,367800,506800,515500,481400,409300,443400,461900,462000,593100,621500,654100,294900,240600,208400,356700,235000,435400,549500,478300,472100,529100,281100,284600,507000,626900,430500,212300,358500,337400,379500,459300,464100,396900,254100,538300,488900,568600,679000,782300,801300,684100,796800,787500,887000,724400,974800,887100,869400,1088200,992100,823900,802000,501600,914180,686620,687160
France,9573520,14053770,10248960,13837700,14760000,11296620,14287540,14984900,14446000,12649000,15241000,17996000,17851008,19007008,15013000,16126000,17450000,20967712,19544000,23781008,23762000,25358000,24745008,32977008,28784000,26474784,27414576,29038496,31822304,33345808,34362204.4,32490754.5,29200262.6,30493197.1,30869728.6,35935157.3,33862197.6,39801138.2,36950991.1,37355956.9,31545319.3,38936514.8,30479361.5,39690179.5,36886102.6,35363563.4,32763445.9,39006372,38336864.7,38207431,35992794.3,37885741.8,38651472,38950202,42750027.4,29316331,38677896,35424140,40604960,30144110,36559450
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190700,114000,89400,76500,107400,291700,144629,226073,89406,306479,199675,225414,185834,190137,69700,74900,80300,53900,48400,96800,80700,81000,47500,125600,126600,97900,107100,100600,102400,135900
Germany,5076707,5906465,6135981,6551198,6149342,6053960,7830615,8575084,7987161,7794037,9631772,9351589,9995657,10914574,9749836,9416595,10149096,11265143,11177128,11253864,11254906,11370906,12548219,14125965,13801524,14601295,13971181,15620731,14509067,15241870,16611967,15541661,15766533,16480510,17763312,18921683,19826755,20187491,19615366,21621548,22837837,20817740,19259811,25427210,23692700,22427900,20828077,25988564,25192350,23782955,22782700,22409300,25019100,27784700,26549500,24463800,24481600,20263500,23062600,22172100,21459200
Greece,1527870,1722137,1416932,2088000,2071988,2020033,1935922,1568000,1723594,1930736,1946000,1768000,1682000,2153000,2120000,2376000,1766516,2704452,2407000,2970000,2932000,3039000,2059000,2316000,1807000,2389000,2314000,2514000,2762000,1939000,3162000,2288000,2078846.36,2470189.76,2314836.2,2086212.94,2081481.54,2062774.66,1976552.17,2287322.23,2196642.94,2038581.72,1701946.52,2092097,2018523.55,1778170,1629072,2074607.57,2139472.15,1920669.75,1857428.8,1835900.96,1831869.31,1570415.56,1458705.46,1560776.99,1356772,1072940,979220,1095150,1058360
